Cities,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
Alofi,-19.06,-169.92,99,NU,1572720964,68,295.15,3.6
San Pedro,-33.68,-59.66,99,AR,1572720964,21,300.37,2.68
Novopokrovka,49.84,36.56,51,UA,1572720964,80,272.15,3.0
Necochea,-38.55,-58.74,0,AR,1572720964,89,287.04,3.58
Antalaha,-14.9,50.28,55,MG,1572720964,79,298.64,6.29
Ancona,41.04,-88.87,90,US,1572720964,65,280.93,5.7
Smithers,54.78,-127.17,75,CA,1572720964,93,278.15,1.5
Vanimo,-2.67,141.3,91,PG,1572720964,72,301.9,3.75
Tabuk,17.41,121.44,95,PH,1572720965,94,296.0,1.62
Calama,-22.46,-68.93,88,CL,1572720965,14,298.15,11.3
Ormara,25.21,64.64,0,PK,1572720965,72,301.83,3.51
Anadyr,64.73,177.51,20,RU,1572720965,92,264.15,1.0
Gariadhar,21.54,71.58,13,IN,1572720965,80,297.84,2.4
Tazovskiy,67.47,78.7,100,RU,1572720965,93,256.18,5.82
Kendal,-6.92,110.2,99,ID,1572720965,84,296.98,1.15
Xuddur,4.12,43.89,95,SO,1572720965,63,298.45,5.25
Thaba Nchu,-29.2,26.83,19,ZA,1572720965,15,297.15,2.1
Tabas,33.6,56.92,0,IR,1572720965,31,291.15,2.1
Thunder Bay,48.41,-89.26,90,CA,1572720685,69,275.37,4.1
Novikovo,51.15,37.89,97,RU,1572720965,80,273.87,3.51
Salinas,36.67,-121.66,1,US,1572720965,17,294.82,7.7
Sao Joao da Barra,-21.64,-41.05,40,BR,1572720968,58,301.15,6.2
Weligama,5.97,80.42,84,LK,1572720968,89,297.93,0.32
Changli,30.54,105.42,0,CN,1572720968,91,287.75,1.15
Bilibino,68.06,166.44,91,RU,1572720969,89,258.37,1.24
Kasungu,-13.04,33.48,36,MW,1572720969,55,296.16,2.54
Half Moon Bay,37.46,-122.43,1,US,1572720969,32,294.82,2.6
Oranjestad,12.52,-70.03,20,AW,1572720830,62,305.15,4.6
Mitchell,43.71,-98.03,1,US,1572720969,52,280.37,3.1
Grafton,-29.69,152.93,43,AU,1572720961,87,290.93,1.02
Dickinson,46.88,-102.79,75,US,1572720732,59,277.04,5.1
Boda,4.32,17.47,84,CF,1572720969,84,296.79,1.55
Sola,-3.17,33.8,43,TZ,1572720970,30,298.13,4.72
Snyder,32.72,-100.92,1,US,1572720970,32,287.59,1.5
Kerema,-7.96,145.78,100,PG,1572720970,95,296.34,0.61
Santa Maria da Vitoria,-13.39,-44.19,34,BR,1572720970,33,306.48,2.94
Grand Gaube,-20.01,57.66,75,MU,1572720970,83,295.15,5.1
Palpa,-14.53,-75.19,32,PE,1572720970,36,297.93,5.55
Raudeberg,61.99,5.14,0,NO,1572720970,64,279.26,2.6
Argir,62.0,-6.77,94,FO,1572720970,73,280.15,10.8
Lata,30.78,78.62,95,IN,1572720970,79,269.68,1.21
Changping,40.22,116.23,20,CN,1572720970,87,285.15,3.0
Ambulu,-8.35,113.61,59,ID,1572720970,83,299.03,4.54
Empalme,27.96,-110.81,40,MX,1572720970,41,303.71,1.79
Batagay,67.65,134.64,0,RU,1572720971,83,251.25,1.36
Neftcala,39.37,49.25,98,AZ,1572720971,72,287.57,18.21
Kutum,14.2,24.66,0,SD,1572720971,20,298.61,2.15
Leningradskiy,69.38,178.42,0,RU,1572720971,72,261.93,1.96
Olinda,-37.84,145.39,40,AU,1572720971,100,287.04,2.6
Abalak,15.46,6.28,42,NE,1572720971,10,305.39,3.72
Birao,10.3,22.78,0,CF,1572720971,38,299.58,2.35
Pangkalanbuun,-2.68,111.62,100,ID,1572720971,89,297.07,0.58
Suoyarvi,62.08,32.35,100,RU,1572720971,93,270.53,4.38
Bruges,51.21,3.23,75,BE,1572720971,81,286.48,10.8
General Pico,-35.66,-63.75,0,AR,1572720971,17,300.75,5.92
Filingue,14.35,3.32,48,NE,1572720971,9,306.52,3.33
Novochernorechenskiy,56.27,91.08,91,RU,1572720972,67,270.47,3.97
Katherine,-14.47,132.26,40,AU,1572720972,65,300.15,2.1
Majene,-3.54,118.97,49,ID,1572720972,89,297.32,1.38
Diego de Almagro,-26.39,-70.05,0,CL,1572720972,16,302.1,6.7
Port Macquarie,-31.43,152.91,50,AU,1572720762,82,290.93,2.6
Kavieng,-2.57,150.8,100,PG,1572720972,75,301.15,2.65
Selenginsk,52.01,106.87,0,RU,1572720972,85,268.15,1.0
Santa Maria,-16.02,-48.01,75,BR,1572720972,33,305.15,5.1
Avdon,33.05,35.18,20,IL,1572720972,77,294.15,1.0
Parabel,58.71,81.5,100,RU,1572720972,82,266.71,4.53
Yulara,-25.24,130.99,33,AU,1572720973,22,294.15,8.2
Provideniya,64.42,-173.23,18,RU,1572720973,90,264.38,0.61
Aksu,52.04,76.93,0,KZ,1572720973,92,267.15,2.0
Severo-Yeniseyskiy,60.37,93.04,94,RU,1572720973,87,263.98,4.91
Shvartsevskiy,54.1,37.99,89,RU,1572720973,92,272.71,4.32
Zhigalovo,54.81,105.15,90,RU,1572720973,93,271.59,0.75
Freeport,26.54,-78.7,40,BS,1572720973,70,303.15,3.6
Bluefields,12.01,-83.77,75,NI,1572720973,79,302.15,2.1
Sao Sebastiao do Cai,-29.59,-51.38,53,BR,1572720974,59,307.04,2.6
Shirokiy,53.87,39.17,78,RU,1572720974,78,274.82,0.89
Lagoa,37.14,-8.45,20,PT,1572720974,93,293.15,7.2
Hobyo,5.35,48.53,94,SO,1572720974,74,300.95,9.13
Mangrol,25.33,76.51,56,IN,1572720974,67,297.93,2.62
Demyansk,57.64,32.46,100,RU,1572720974,77,274.91,6.18
Iaciara,-14.1,-46.63,67,BR,1572720974,34,304.95,2.22
Chowchilla,37.12,-120.26,1,US,1572720974,20,295.93,1.93
Salamiyah,35.01,37.05,31,SY,1572720974,68,291.36,1.92
Bull Savanna,17.89,-77.59,100,JM,1572720974,69,300.69,1.96
Jojoima,7.88,-10.79,94,SL,1572720974,85,297.46,0.55
Khovu-Aksy,51.13,93.72,100,RU,1572720975,68,273.84,3.37
Nizhniy Tsasuchey,50.52,115.13,0,RU,1572720975,34,269.77,3.93
Nouadhibou,20.93,-17.03,0,MR,1572720975,69,296.15,5.1
Shingu,33.72,135.99,65,JP,1572720975,82,290.32,3.61
Shemonaikha,50.63,81.92,80,KZ,1572720975,69,272.08,2.33
Uglegorsk,49.08,142.06,100,RU,1572720975,88,274.28,9.77
Birjand,32.86,59.22,0,IR,1572720975,36,282.15,2.1
Tres Arroyos,-38.38,-60.28,0,AR,1572720975,48,291.72,8.85
Ust-Tsilma,65.44,52.15,16,RU,1572720975,96,262.25,1.12
Yenagoa,4.92,6.26,100,NG,1572720975,91,298.51,1.81
Qeshm,26.96,56.27,0,IR,1572720975,58,301.15,3.1
Itaituba,-4.26,-55.99,20,BR,1572720975,56,307.15,1.94
Tura,64.27,100.22,100,RU,1572720976,83,265.38,6.76
Guerrero Negro,27.97,-114.04,100,MX,1572720976,17,300.33,1.09
Hakui,36.89,136.78,75,JP,1572720976,87,283.71,1.5
Suicheng,33.9,117.93,94,CN,1572720976,62,286.48,2.42
Muros,42.77,-9.06,75,ES,1572720976,93,289.82,6.7
Ekibastuz,51.72,75.32,0,KZ,1572720976,67,271.41,2.91
Tilichiki,60.47,166.1,98,RU,1572720976,94,269.85,3.29
Prince George,53.92,-122.75,40,CA,1572720976,93,277.59,5.7
Yumen,40.29,97.04,0,CN,1572720976,26,279.5,4.52
San Isidro,10.02,-84.06,40,CR,1572720976,65,300.15,5.1
Frontera,18.53,-92.64,90,MX,1572720976,83,298.15,2.1
Constitucion,23.99,-104.67,5,MX,1572720976,38,296.15,3.1
Athabasca,54.72,-113.29,71,CA,1572720976,74,275.61,2.81
Rabo de Peixe,37.8,-25.58,40,PT,1572720977,72,292.15,3.1
Bodaybo,57.85,114.2,98,RU,1572720977,92,263.34,1.39
Hulan,34.23,47.18,75,IR,1572720977,54,287.15,2.1
Jacareacanga,-6.22,-57.76,81,BR,1572720977,36,307.63,1.68
Beidao,34.57,105.89,0,CN,1572720977,78,280.88,1.41
Carbonia,39.17,8.53,20,IT,1572720977,94,293.15,2.1
Lixourion,38.2,20.43,40,GR,1572720977,77,291.15,2.1
Palmer,-34.85,139.16,75,AU,1572720977,72,288.15,2.1
Sanghar,29.48,73.93,0,IN,1572720977,44,296.73,2.33
Joutseno,61.11,28.48,90,FI,1572720978,93,275.15,3.1
Wete,-5.06,39.73,15,TZ,1572720978,78,300.12,4.57
Atbasar,51.81,68.36,28,KZ,1572720978,71,270.25,1.73
Fairbanks,64.84,-147.72,90,US,1572720978,85,266.48,2.1
Chulym,55.09,80.97,14,RU,1572720978,63,270.22,4.04
Saryg-Sep,51.49,95.55,44,RU,1572720978,75,274.63,0.99
Mishkino,56.22,46.62,40,RU,1572720978,92,272.15,5.0
Ornskoldsvik,63.29,18.72,43,SE,1572720978,92,273.15,1.5
Gopamau,27.53,80.29,0,IN,1572720978,49,297.33,1.15
Potrerillos Abajo,8.64,-82.49,40,PA,1572720978,70,303.15,5.1
Roswell,33.39,-104.52,1,US,1572720978,43,285.37,3.6
Kamenka,48.03,28.7,100,MD,1572720979,76,281.48,3.13
Maragogi,-9.01,-35.22,3,BR,1572720979,72,299.68,4.97
Buraydah,26.33,43.97,0,SA,1572720979,44,299.15,3.6
Grand-Lahou,5.24,-5.0,1,CI,1572720979,80,300.57,5.83
Muroto,33.37,134.14,85,JP,1572720979,86,286.87,1.35
La Ronge,55.1,-105.3,75,CA,1572720979,77,273.15,3.1
Marand,38.43,45.77,90,IR,1572720979,87,279.15,2.1
